content,score,at
Akulaku sukses teruss,5,6/6/2023 8:01
Aplikasi akulaku cukup bagus dan mengintung kan sekali. Ada refnya juga .KMSGJQ. Untuk mendapat kan limit pun cukup mudah dan cepat. Serta pendaptaran nya pun mudah di acc nya. Dari segi praktis aplikasi nya pun sangat lah simpel dan mudah untuk di akses nya. Untuk fitur keamanan nya pun sangat lah canggih. Untuk fitur nya sangat lah lengkap sekali. Jadi juga lebih mudah untuk di gunakan kita. Dan untuk sistem nya pun berjapan dengan lancar sekali. Semkha makin berkembang lagu aplikasi nya deh,5,6/6/2023 8:00
Transaksi cepat,5,6/6/2023 7:59
Dana Cicil SULIT AMAAAT,5,6/6/2023 7:59
Sangat sangat membantu,5,6/6/2023 7:59
Mantab,5,6/6/2023 7:58
Min tolong acc dong pinjaman nya udh saya bayarr kok gk bisa pinjam lagi,5,6/6/2023 7:57
"Alhamdulillah aplikasi yg sangat membantu saya, saya sangat berterimaksih k.pada pihak akulakuu yg sangat membantu saya. Semoga limitnya bisa bertambah lgii.",5,6/6/2023 7:55
Sangat membantu !,5,6/6/2023 7:51
Terimakasih sangat membantu sekali,5,6/6/2023 7:49
Alhamdulillah di acc,5,6/6/2023 7:48
Terimakasih sangat membantu 🙏,5,6/6/2023 7:48
Mantap,5,6/6/2023 7:47
Gara gara ini data gw di separ udah lunas juga Masi aja kurang memuaskan aplikasi akulaku,1,6/6/2023 7:42
Sangatlah. Bagus,5,6/6/2023 7:41
Semoga bisa terus membantu,5,6/6/2023 7:38
👍,5,6/6/2023 7:26
Barakallah,1,6/6/2023 7:23
Sangat membantu,5,6/6/2023 7:23
gara gara akulaku aku banyak hutang yeay,5,6/6/2023 7:22
Ad nya aplikasi ini sangat membantu,5,6/6/2023 7:19
"Banyak toko mati, dichat ga bales katanya masih ofline, stok barang habis juga ga dimatiin herannn, terus pas online pas dichat balik ofline dalam satu detik",1,6/6/2023 7:09
Aku sih yes,4,6/6/2023 7:04
Saya bayar sebelum jatuh tempo ko ngga bisa ngajuin lagi iya vrifikasi anda tida lolos mohon bayar tepat waktu kan saya bayar sebelum jatuh tempo tolong dong d perbaiki lagi sistim,5,6/6/2023 6:59
the best,5,6/6/2023 6:49
ok sangat membantu,5,6/6/2023 6:49
Ok aku suka dgn aku laku karna sangat membantu,5,6/6/2023 6:47
"Akulaku ga sesuai ,,baru telat 3 hari ,di lumasi ,sudah tidak bisa pinjem lagi,,,",2,6/6/2023 6:40
Membantu sekali cm kl bs bunganya diturunin lg,5,6/6/2023 6:36
Mantaap bisa membatu,5,6/6/2023 6:36
Mnatap,5,6/6/2023 6:31
Aplikasi sangat membantu,5,6/6/2023 6:30
Terima kasih aplikasi yg membantu orang,5,6/6/2023 6:22
"Cepat dan mudah, trm kasih",5,6/6/2023 6:19
Sangat membantu,5,6/6/2023 6:13
Sejauh ini akulaku cukup bagus👍,5,6/6/2023 6:05
Saya puas banget pinjem d akulaku,5,6/6/2023 6:05
👍👍,5,6/6/2023 5:56
Baguss,5,6/6/2023 5:38
Mantap akulaku,5,6/6/2023 5:31
Aku laku memang josss,5,6/6/2023 5:28
LIMIT PAYLATER GA BISA DIGUNAKAN KENAPAAAAA CK,3,6/6/2023 5:27
Ok,5,6/6/2023 4:58
Sangat membantu,4,6/6/2023 4:57
"Paltform pinjam paling mudah untuk pendaftaran nya.. HXDYSJ ,, Adan limit pun cukup besar lah. Kedepan nya juga meningkat lagih. Dan Bungan sama tenor pun bersahabat sekali. Pokonya recomended lah untuk aplikasi nya. Karma benar benar sangat membantu sekali. Cocok untuk semua kalangan lagih. Mantap lah. Kembang kan terus untuk aplikasi ini ke depan nya. Biar makin mantap lagi",5,6/6/2023 4:55
Mantob bro,5,6/6/2023 4:42
Apk kg guna,1,6/6/2023 4:41
Sejauh ini berjalan dgn baik,5,6/6/2023 4:40
bagus,5,6/6/2023 4:31
Goood,5,6/6/2023 4:16
Sangat membantu buat dadakan,5,6/6/2023 4:01
Nice,5,6/6/2023 3:52
Tolong bantu untuk ACC peminjaman dana,5,6/6/2023 3:46
Membantu,5,6/6/2023 3:31
Bagus aplikasinya tapi sayang gak bisa dipake semua,5,6/6/2023 3:25
Bagus TDK ribet temponya lama,5,6/6/2023 3:20
Mudh dan cept,5,6/6/2023 3:19
"W bingung sama akulaku skg, pinjaman s belum waktunya udh saya lunasi..tp skg mengajukan kembali di persulit pake acara minta tambahan data ,id dan email BPJS segala KL ga punya. Id dan email BPJS gimana? Kan kebanyakan skg yg di pake BPJS dari pemerintah..!!! Awal2nya ga di wajibkan di minta id atau email BPJS.Tolong Jelaskan Min..jgn bikin org tambah bingung!!!!",1,6/6/2023 3:09
Sekarang harus punya akun BPJS baru bisa pakai lagi alhasil harus unistal padahal bayar juga selalu tepat..Awalnya sih sangat membantu proses cepat..Dua tahun lebih menggunakan akulaku yg tdnya aman ngga ada msalh sekarang ribet harus ada akun BPJS ketenaga kerjaan padahal ngga semua orang punya..,1,6/6/2023 3:08
Bagus,5,6/6/2023 3:06
bagus,5,6/6/2023 3:00
Latere ra iso enggo,1,6/6/2023 2:46
Terbaik...,5,6/6/2023 2:39
The best,5,6/6/2023 2:38
Tolong dong bisa di buka lagi untuk pinjaman cicil,5,6/6/2023 2:36
Skrang parah japo kurang 2 hari udah WA ke mana mana tolol si mending di bikin galby aja skalian biar bangkrut ini aku laku,1,6/6/2023 2:35
Mantep,5,6/6/2023 2:34
Ok sangat baik,5,6/6/2023 2:27
"Memang membantu udah 2x bisa cairr,,cuman kenapa tidak bisa mengajukan kembali,,padahal riwayat pembayaran saya selama ini tidak pernah terlewat,,tolong di perbaiki lgi di cek riwayat pembayarannya sebelum menolak nasabah",2,6/6/2023 2:25
"Kenapa saya tidak bisa minjam lagi ,kemaren maren bisa",5,6/6/2023 2:25
Sangat mudah prosesnya..semoga akulaku semakin maju dn sukses,5,6/6/2023 2:23
super,5,6/6/2023 2:22
Oke,5,6/6/2023 2:19
Good,5,6/6/2023 2:18
"Dioptimalkan apanya? Sebelum update untuk scan bisa pake foto di galeri, sekarang gak bisa setelah update aplikasi. Ditambah lagi udah bertahun-tahun pake akulaku masih gak bisa untuk digunakan di shopee hahaha",1,6/6/2023 2:13
Baguuss,5,6/6/2023 2:10
Parah dana cicil yg tadiny 15 juta setelah dilunasin.mau pinjam lg malah ke awal lg. Padahal ga pernah telat bayar,1,6/6/2023 2:08
Yes good,4,6/6/2023 2:01
"Kpd yth apk akulaku sya g bisa ungkapkan kata""pokoknya isthebest maupun pinjaman atau paylaternya sllu ok banget mks smga kedepanya bisa cerah seperti rembulan mks.percuma ada pinjaman klo g bisa di acckn ,maap seribu kali maaf npwp saya di pusat krn lupa kata sandinya apalagi bpjs saya g punya percuma wlpun ngajuin juga pasti di tolakkkk,yg ad sia""saya akan bayar paylaternya g nunggu japo mks.",5,6/6/2023 1:56
Mantap,5,6/6/2023 1:52
Mantapp maseehhh,5,6/6/2023 1:44
Terima kasih Aku laku. Memudahkan semua,5,6/6/2023 1:39
"Saya ganti bintang 5 yg td nya 4 ,, tolong dong limit paylaternya knpa ga bisa dipakai",5,6/6/2023 1:39
Untuk limit ga bisa di gunakan. Parah,4,6/6/2023 1:29
Bagus,4,6/6/2023 1:29
Percaya,3,6/6/2023 1:24
Good...cepat tepat dah gampang,5,6/6/2023 1:11
Aku laku ribettt....pdhl sm nasabah yg byrnya bener...ga ush di bkn ribettt...lama lama aku laku ga punya nasabah...da ribet pke bpjs segala,1,6/6/2023 1:07
Bgus,1,6/6/2023 0:55
Mantap.,5,6/6/2023 0:54
Sangat puas untuk layanan akulaku nya selama ini tidak mengecewakan,5,6/6/2023 0:53
Sangat membantu,5,6/6/2023 0:49
sangat membantu d kala d butuhkan. trims,5,6/6/2023 0:48
"Belanja apa aja enak di akulaku, cuman 1 akulaku paylaternya gabisa di pake 😔",5,6/6/2023 0:45
Good job,5,6/6/2023 0:42
Aplikasi kereeeen.. Sangat membantu usaha saya,5,6/6/2023 0:36
"Bayar ga pernah terlambat, pengajuan lg malah ga lolos,di bohongi mulu ma ni apk",1,6/6/2023 0:27
Bagus kali,5,6/6/2023 0:27
"Sangat membantu, service mantaf ❤❤",5,6/6/2023 0:17
Padahal udah sering banget pinjam dipijol ini dan slalu tepat waktu walaupun tidak punya npwp dan akun bpjsku. Tapi skrng mah sudah tidak bisa lagi ngajuin pinjaman buat yang tidak punya bpjs dan npwp kaya saya.padahal punya apk ini buat pedagang kecil kaya saya merasa terbantu banget. Trimaksi buat akulaku karna slama ini sudah ngebantu saya.. Semoga tambah jaya dan tambah besar dan semoga kedepannya bisa lagi pinjaman kecil2nya buat nasabah yang tidak punya akun bpjsku..,5,6/6/2023 0:15
Emang kocak akulaku prmbayaran bagus tapi limit ga bisa di pakai,1,6/6/2023 0:10
AQ kasih 5 bintang deh... Sangat membantu...👍👍👍,5,6/6/2023 0:09
Luar biasa,5,6/6/2023 0:06
sangat cepat dan membantu,5,6/6/2023 0:06
Mudah pencairan nya,5,6/6/2023 0:05
🤲🤲🤲,2,6/6/2023 0:04
Sangat puas,5,6/6/2023 0:00
Keren,5,6/5/2023 23:55
"Emang bunganya gede, tapi ga masalah....yg parah itu padahal saya tertib bayar sebelum jatuh tempo, habis 4 x eh malah ga bisa minjem lagi saya padahal ga merasa bayar sampai jatuh tempo ,,,, selalu ga loloss??? Aneh lah ini ilimit bukanya nambah malah kurang .mohon untuk akulaku di oerbaiki",1,6/5/2023 23:55
"Good aplication, and easy to use",5,6/5/2023 23:54
Perucuma limit gede gk bisa di gunain,1,6/5/2023 23:52
Terimakasih akulaku aplikasi yng menolong,5,6/5/2023 23:52
Ok banget ngebantu,5,6/5/2023 23:51
Lancar,5,6/5/2023 23:50
"Pengajuan paylater tidak pernah lolos, gak jelas😡",1,6/5/2023 23:50
Parah bener ini akulaku saya gak pernah telat bayar tapi pas mau ngajuin pinjeman lagi kagak bisa,1,6/5/2023 23:50
"Ini gmna si aplikasinya padahal bayar gk sampe jatuh tempo tapi knp pas mau minjem lagi gk bisa ,,,,paylater juga gabisa saya minta hapus data2nya klo udah gk bisa dipake tkut disalah gunakan,,,,,,",1,6/5/2023 23:46
Sangat bagus,5,6/5/2023 23:45
Aplikasi yang sangat membantu makasih akulaku,5,6/5/2023 23:45
"Kasih bintang 5, siapa tau aja limitnya bisa di pake",5,6/5/2023 23:44
Laku2 emang membatu,5,6/5/2023 23:41
Jatuh tempo masih 1minggu..udah di telpon melulu,2,6/5/2023 23:41
Tolong di ACC Kaka atas namah suji,5,6/5/2023 23:39
Bagus aplikasi nya,5,6/5/2023 23:37
"Simsalabin.... Kena prank😏 Demi profit model tsunami, akulaku tdk pernah dan tidak akan pernah menghargai penggunanya yg selalu ikut aturan dan selalu patuh bayar tagihan.",1,6/5/2023 23:34
Dengan adanya pylater d akulaku aku bisa pinjaman sangat mudah.,5,6/5/2023 23:32
Mantabh murah,5,6/5/2023 23:32
"kalo untuk menghapus data gw di apk ini gmn ya,,percum gw save,,sudah tdk guna,,kredit tdk bisa k.t.a susah di acc,sudah nggak guna bgt",1,6/5/2023 23:31
bagus,5,6/5/2023 23:29
👍👍👍👍,5,6/5/2023 23:26
Good,5,6/5/2023 23:24
Bagus,5,6/5/2023 23:21
Ok,5,6/5/2023 23:15
"mantap, bayar jauh jauh hari sebelum jatuh tempo malah ga bisa ngajuin lagi aplikasi mantap",1,6/5/2023 23:09
Akulaku sangat membantu👍 terimakasih akulaku,5,6/5/2023 23:08
Mohon Naik kan limit saya...😁..mantap aku laku,5,6/5/2023 23:07
Mantap bosku 👍👍,5,6/5/2023 22:59
Sangat memuaskan,5,6/5/2023 22:57
BISMILLAH ALHAMDULILLAH WASYUKURILLAH SEMOGA AKULAKU bisaa membantuu sampai kedepannya Aamiin Suksess seLaLuu,5,6/5/2023 22:56
Ok,5,6/5/2023 22:54
Sangat membantu terimakasih atas pinjaman nya akulaku,5,6/5/2023 22:54
Mantapppp membantu sangatmaturnuwun,5,6/5/2023 22:53
Mantap,5,6/5/2023 22:50
Aplikasi yang sangat membantu asal kita yang amanah dan bisa bertanggung jawab pasti semua nya akan mudah,5,6/5/2023 22:49
Dulu enak aja ngajuin pinjaman sekarang ada limit tapi gagal terus tiap mau minjam padahal bayar tepat waktu terus aneh aplikasinya..,1,6/5/2023 22:48
Sangat membantu,5,6/5/2023 22:45
Alhamdulillah sangat membantu trimksh aku lakukan,5,6/5/2023 22:44
Buruk jelek...,1,6/5/2023 22:41
Sekarang susah buat pinjam ribed,1,6/5/2023 22:38
"Terima kasih akulaku,pinjam uang langsung cair.",5,6/5/2023 22:38
Saya penggina baru... nggetes pesan pulsa pake krredi pay tapi gak biisa... mohon di bantu...,5,6/5/2023 22:36
Membantu sekali,5,6/5/2023 22:32
Rekomendasi,5,6/5/2023 22:31
Parah bayar gapernah telat masak mau pinjem lagi kualitas kredit tidak mencukupi,1,6/5/2023 22:30
Like,5,6/5/2023 22:29
hebat,5,6/5/2023 22:27
Cepet cair mantap,5,6/5/2023 22:23
Gak bisa pinjam. Padahal baru daptar,5,6/5/2023 22:20
sangat membantu kebutuhan keluarga,5,6/5/2023 22:18
Good,5,6/5/2023 22:13
Semoga bermanfaat,5,6/5/2023 22:12
Makasi akulaku,5,6/5/2023 22:09
Knapa dana pinjam sekarang pake bpjsku,2,6/5/2023 22:06
"Parah akulaku limit 7jt gak bisa di pake takut gak di bayar ya, padahal selalu tepat waktu gak pernah telat",1,6/5/2023 22:04
Limit kredit yang aku Dapat Minim Sekali,5,6/5/2023 22:03
